ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,UltimateSource,Source,Pages
anor1241-1,Anor,anor1241,Anor,anj,Papunesia,-4.98449,144.801,Lower Sepik-Ramu,,Zgraggen1972,pp.215-219
anor1241-2,Atemble,anor1241,Anor,anj,Papunesia,-4.98449,144.801,Lower Sepik-Ramu,,Capell1951,p.186
ansu1237-1,Ansus,ansu1237,Ansus,and,Papunesia,-1.7543,135.866,Austronesian,,Galis1955,p.140
anta1255-1,Sakalava,anta1255,Antankarana Malagasy,xmv,Africa,-13.2164,49.2402,Austronesian,,ThomasFattier1982,p.120
anta1255-2,Tankarana,anta1255,Antankarana Malagasy,xmv,Africa,-13.2164,49.2402,Austronesian,,Jully1901,passim
anuk1239-1,Anuki,anuk1239,Anuki,aui,Papunesia,-9.6692,149.822,Austronesian,S.I.L word list (1975). Village: Pem.,Lean1986Vol06,p.29
anus1237-1,Sobei-groep Anus,anus1237,Anus,auq,Papunesia,-2.26271,139.502,Austronesian,,Galis1955,p.143
aohe1237-1,"Penihing Dayak, Upper Mahakam",aohe1237,Aoheng-Seputan,pni,Papunesia,0.87404,114.127,Austronesian,,Stokhof1986Vol8,p.155
aohe1237-2,Pĕnihingsch,aohe1237,Aoheng-Seputan,pni,Papunesia,0.87404,114.127,Austronesian,,Barth1910,pp.234-279
apal1255-1,Palik,apal1255,Apalik,apo,Papunesia,-6.29002,149.96,Austronesian,1 IMP. Village: Turuk.,LeanWestNewBritain,p.24
apma1241-1,Ap Ma (Yamen village),apma1241,Ap Ma,kbx,Papunesia,-4.35147,144.085,Keram,,Barlow2021,p.87
apma1241-2,Botin,apma1241,Ap Ma,kbx,Papunesia,-4.35147,144.085,Keram,,Wade1983,"pp.11, 12, 53, 83, 73"
apma1241-3,Kambot (from CSQs),apma1241,Ap Ma,kbx,Papunesia,-4.35147,144.085,Keram,"2 CSQs. Villages: Kambot, Yamen.",LeanEastSepik,p.61
apma1241-4,Kambot (Kambaramba village),apma1241,Ap Ma,kbx,Papunesia,-4.35147,144.085,Keram,SIL Word List (1975). Village: Kambaramba.,LeanEastSepik,p.61
aral1243-1,Mambi,aral1243,Aralle-Tabulahan,atq,Papunesia,-2.78397,119.319,Austronesian,,Arnaud1998,pp.863-879 [word list item numbers]
aral1243-2,Tabulahan,aral1243,Aralle-Tabulahan,atq,Papunesia,-2.78397,119.319,Austronesian,,Arnaud1998,pp.863-879 [word list item numbers]
aram1253-1,Nambu,aram1253,Arammba,stk,Papunesia,-8.29593,141.445,Yam,SIL Word List (1974). Village: Serki.,Lean1986Vol12,p.55
aram1253-2,Parb,aram1253,Arammba,stk,Papunesia,-8.29593,141.445,Yam,,Ray1912,pp.340-341
aran1237-1,Jaban-Arandai,aran1237,Dombano,jbj,Papunesia,-2.08016,132.983,South Bird's Head Family,,Galis1955,p.135
aree1239-1,Mukawa,aree1239,Are,mwc,Papunesia,-9.67147,149.999,Austronesian,"7 CSQs. Villages: Ginada (2), Mukawa (2), Bogaboga, Irikaba (2).",Lean1986Vol06,p.31
aree1239-2,Mukawa (from SIL word list),aree1239,Are,mwc,Papunesia,-9.67147,149.999,Austronesian,S.I.L word list. Village: Mukawa.,Lean1986Vol06,p.32
argu1237-1,Báham,argu1237,Arguni,agf,Papunesia,-2.645798,132.5556,Austronesian,,Galis1955,p.134
arib1240-1,Yalu,arib1240,Aribwaung,ylu,Papunesia,-6.65252,146.919,Austronesian,,Smith1988,p.70
arif1239-1,Arifama-Miniafia,arif1239,Arifama-Miniafia,aai,Papunesia,-9.15565,149.246,Austronesian,"3 CSQs, 1 IMP. Villages: Ajoa, Utukwafu (2).",Lean1985Vol05,p.61
arii1243-1,Ari-Waruna (‘Ari’),arii1243,Ari,aac,Papunesia,-7.95526,142.4,Suki-Gogodala,SIL Wordlist (1974).,Lean1986Vol12,p.39
arop1242-1,Arop,arop1242,Arop-Sissano,aps,Papunesia,-3.06984,142.12,Austronesian,,Ray1919,p.330
arop1243-1,Arop-Lokep,arop1243,Arop-Lokep,apr,Papunesia,-5.31671,147.103,Austronesian,,Carter2012,p.60
arop1243-2,Lokep / Lukep,arop1243,Arop-Lokep,apr,Papunesia,-5.31671,147.103,Austronesian,,Smith1988,p.59
arop1243-3,Lukep (Arop dialect),arop1243,Arop-Lokep,apr,Papunesia,-5.31671,147.103,Austronesian,"Author’s Notes. Informant from Bok Village, Long Island.",LeanMadang,pp.78-79
arop1243-4,Lukep (Tolokiwa Island),arop1243,Arop-Lokep,apr,Papunesia,-5.31671,147.103,Austronesian,SIL Word List (1975). Tolokiwa Island.,LeanMadang,p.79
arua1260-1,Makarub,arua1260,Aruamu,msy,Papunesia,-4.28957,144.842,Lower Sepik-Ramu,,Capell1951,p.141
arua1260-2,Mikarew,arua1260,Aruamu,msy,Papunesia,-4.28957,144.842,Lower Sepik-Ramu,,Zgraggen1972,pp.215-218
arua1260-3,Mikarew (from CSQs),arua1260,Aruamu,msy,Papunesia,-4.28957,144.842,Lower Sepik-Ramu,"3 CSQs. Villages: Ariangon, Dinam, Wasngabang.",LeanMadang,p.7
arua1260-4,Mikarew (Gorak village),arua1260,Aruamu,msy,Papunesia,-4.28957,144.842,Lower Sepik-Ramu,SIL (1975). Village: Gorak.,LeanMadang,p.7
arue1240-1,Aruek,arue1240,Aruek,aur,Papunesia,-3.37841,142.715,Nuclear Torricelli,,Laycock1970D02,p.279
aruo1240-1,Aruop,aruo1240,Srenge,lsr,Papunesia,-3.45782,142.478,Nuclear Torricelli,,Laycock1967C03,p.67
asar1240-1,Asaro'o (Bagen village),asar1240,Asaro'o,mtv,Papunesia,-5.68263,146.508,Nuclear Trans New Guinea,,Carter2012,p.59
asil1242-1,"Lima (Rumahsosal, Nuwetetu) Seram",asil1242,Asilulu,asl,Papunesia,-3.67302,127.952,Austronesian,,Stokhof1981Vol3.1,pp.173-174
asil1242-2,Lima (Waraka) Seram,asil1242,Asilulu,asl,Papunesia,-3.67302,127.952,Austronesian,,Stokhof1981Vol3.1,p.158
asko1238-1,Eivo,asko1238,Askopan,eiv,Papunesia,-6.22539,155.307,North Bougainville,"Allen and Hurd, SIL Wordlist, (1963).",Lean1985Vol03,p.44
asko1238-2,Eivo (Aniovi village),asko1238,Askopan,eiv,Papunesia,-6.22539,155.307,North Bougainville,1 CSQ. Village: Aniovi.,LeanBougainville,p.36
asue1235-1,Awju Pisa,asue1235,Asue Awyu,psa,Papunesia,-5.98341,139.123,Nuclear Trans New Guinea,,Galis1955,p.167
asue1235-2,Awyu: Busiri,asue1235,Asue Awyu,psa,Papunesia,-5.98341,139.123,Nuclear Trans New Guinea,,Kriens2010,pp.48-49
atem1241-1,Mand,atem1241,Mand,ate,Papunesia,-5.08137,144.806,Nuclear Trans New Guinea,,Daniels2015,p.455
atoh1238-1,Atohaim (Yagamit village),atoh1238,Atohwaim,aqm,Papunesia,-6.27123,138.666,Kayagaric,,Sidabutar2002,p.5
atoh1238-2,Atoheim (Jaukui village),atoh1238,Atohwaim,aqm,Papunesia,-6.27123,138.666,Kayagaric,,Clouse1987,p.1
atoh1238-3,Taminid / Atohwaim (Yahui village),atoh1238,Atohwaim,aqm,Papunesia,-6.27123,138.666,Kayagaric,,Sawi2002,p.5
auuu1241-1,Au,auuu1241,Au,avt,Papunesia,-3.53277,142.105,Nuclear Torricelli,,Laycock1967C01,p.60
auuu1241-2,Au,auuu1241,Au,avt,Papunesia,-3.53277,142.105,Nuclear Torricelli,,Laycock1967C09,p.14
auwe1239-1,Simog,auwe1239,Auwe,smf,Papunesia,-3.33662,141.254,Border,,Laycock1970D12,p.1672
avau1237-1,Gasmata (near Gasmata Government Station),avau1237,Avau,avb,Papunesia,-6.24342,150.427,Austronesian,"2 CSQs. Villages: Akam, Aringring.",Lean1985Vol04,p.61
awad1244-1,Biliau,awad1244,Awad Bing,bcu,Papunesia,-5.59896,146.355,Austronesian,SIL Word List (1975). Village: Galek.,LeanMadang,p.77
