ID,Name,Source,Pages,UltimateSource,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
ampa1239-1,Ampanang,Knappert1905,pp.615-616,,ampa1239,Ampanang,apg,Papunesia,-0.79259,116.349,Austronesian
amto1250-1,Amto,LeanSandaun,p.29,SIL Word List (1972). Village: Amto.,amto1250,Amto,amt,Papunesia,-4.12165,141.339,Amto-Musan
amto1250-2,Amto,Conrad1975,pp.21-24,,amto1250,Amto,amt,Papunesia,-4.12165,141.339,Amto-Musan
anam1247-1,Pondoma,Zgraggen1980SouthernAdelbert,p.46,,anam1247,Anam,pda,Papunesia,-4.68869,145.051,Nuclear Trans New Guinea
anam1248-1,Anamuxra,Ingram2001,pp.83-87,,anam1248,Anamuxra,imi,Papunesia,-4.63762,144.991,Nuclear Trans New Guinea
anam1248-2,Ikundun,Zgraggen1980SouthernAdelbert,p.46,,anam1248,Anamuxra,imi,Papunesia,-4.63762,144.991,Nuclear Trans New Guinea
anda1283-1,Andai (Imboin-Namata villages),Kassell2017,pp.52-53,,anda1283,Andai,afd,Papunesia,-4.96449,143.637,Arafundi
anda1283-2,Andai (Kaiyam village),Kassell2017,pp.52-53,,anda1283,Andai,afd,Papunesia,-4.96449,143.637,Arafundi
anda1284-1,Andarum,Zgraggen1972,pp.215-219,,anda1284,Andarum,aod,Papunesia,-4.48734,144.767,Lower Sepik-Ramu
andr1248-1,Ahus ,Blust2021,"pp.25, 30, 32, 37, 38",,andr1248,Andra-Hus,anx,Papunesia,-2.05894,147.085,Austronesian
andr1248-2,Andra-Hus,Lean1985Vol02,p.39,1 CSQ; Field Notes (1980). Andra Island.,andr1248,Andra-Hus,anx,Papunesia,-2.05894,147.085,Austronesian
anei1239-1,Anaiteum,Codrington1885,p.235,,anei1239,Aneityum,aty,Papunesia,-20.1864,169.825,Austronesian
anem1248-1,Abia,LeanCentral,p.34,SIL (1985). Village: Unu.,anem1248,Aneme Wake,aby,Papunesia,-9.75911,148.479,Yareban
anem1249-1,Anem,Lean1985Vol04,p.80,SIL Word List (1967). Village: Pureling.,anem1249,Anem,anz,Papunesia,-5.54836,148.993,Anem
anem1249-2,Anem (from field notes by M. Kanin),LeanWestNewBritain,p.40,"Field Notes (1989), taken by M. Kanin.",anem1249,Anem,anz,Papunesia,-5.54836,148.993,Anem
anem1249-3,Anem - Pureling village,Haywood1980,p.54,,anem1249,Anem,anz,Papunesia,-5.54836,148.993,Anem
anga1290-1,Agaataha,Smith1988,p.99,,anga1290,Angaataha,agm,Papunesia,-7.15012,146.352,Angan
anga1292-1,Augu,Williams1940,p.58,,anga1292,Angal Heneng,akh,Papunesia,-6.13347,143.478,Nuclear Trans New Guinea
anga1293-1,Mendi (Angal Heneng),Lean1986Vol10,p.30,17 CSQs.,anga1293,Angal,age,Papunesia,-6.0127,143.592,Nuclear Trans New Guinea
anga1294-1,Mendi (South Mendi dialect),Lean1986Vol10,p.32,6 CSQs. (Nembi Valley).,anga1294,Angal Enen,aoe,Papunesia,-6.23296,143.583,Nuclear Trans New Guinea
anga1314-1,"Mendi/Dialects [data correspond to three Glottocodes: anga1292, anga1293, anga1294]",Franklin2012,pp.44-45,,anga1314,Angal Mendi,,,-6.126376667,143.551,Nuclear Trans New Guinea
angg1239-1,Yali (Angguruk),Zoellner2017,"pp.15, 78, 89, 124, 133, 152, 161, 172, 191",,angg1239,Angguruk Yali,yli,Papunesia,-4.0836,139.457,Nuclear Trans New Guinea
angg1239-2,Angguruk,Fahner1979,p.157,,angg1239,Angguruk Yali,yli,Papunesia,-4.0836,139.457,Nuclear Trans New Guinea
ango1254-1,Anggor (Angor Community School),LeanSandaun,p.19,1 CSQ. Angor Community School.,ango1254,Angor,agg,Papunesia,-3.7167,141.199,Senagi
ango1254-2,Anggor (from IMP/SIL),LeanSandaun,p.19,SIL Word List (1976) for 1 to 5; IMP/SIL Questionnaire (1978).,ango1254,Angor,agg,Papunesia,-3.7167,141.199,Senagi
ango1254-3,Senagi,Laycock1970D14,p.1952,,ango1254,Angor,agg,Papunesia,-3.7167,141.199,Senagi
ango1254-4,Senagi (Anggor),Laycock1971D17,p.2340,,ango1254,Angor,agg,Papunesia,-3.7167,141.199,Senagi
ango1255-1,Angoram,LeanEastSepik,p.43,"3 CSQs. Villages: Supalu (2), Magendo.",ango1255,Angoram,aog,Papunesia,-4.07758,144.028,Lower Sepik-Ramu
ango1255-2,Maramba,LeanEastSepik,p.43,2 CSQs. Village: Maramba.,ango1255,Angoram,aog,Papunesia,-4.07758,144.028,Lower Sepik-Ramu
anja1238-1,Bokajim,Ray1919,p.329,,anja1238,Anjam,boj,Papunesia,-5.45899,145.717,Nuclear Trans New Guinea
anja1238-2,Bom,LeanMadang,p.62,SIL Word List (1975). Village: Bogadjim.,anja1238,Anjam,boj,Papunesia,-5.45899,145.717,Nuclear Trans New Guinea
anja1238-3,Bom,Zgraggen1980RaiCoast,p.92,,anja1238,Anjam,boj,Papunesia,-5.45899,145.717,Nuclear Trans New Guinea
anka1246-1,Ankave,Lean1986Vol11,p.39,"SIL Word List, R. Speece (1980). Swanson River Valley.",anka1246,Ankave,aak,Papunesia,-7.19444,145.754,Angan
anor1241-1,Anor,Zgraggen1972,pp.215-219,,anor1241,Anor,anj,Papunesia,-4.98449,144.801,Lower Sepik-Ramu
anor1241-2,Atemble,Capell1951,p.186,,anor1241,Anor,anj,Papunesia,-4.98449,144.801,Lower Sepik-Ramu
ansu1237-1,Ansus,Galis1955,p.140,,ansu1237,Ansus,and,Papunesia,-1.7543,135.866,Austronesian
ansu1237-2,Ansoes,Grace1955pdf49,p.85,,ansu1237,Ansus,and,Papunesia,-1.7543,135.866,Austronesian
anta1255-1,Sakalava,ThomasFattier1982,p.120,,anta1255,Antankarana Malagasy,xmv,Africa,-13.2164,49.2402,Austronesian
anta1255-2,Tankarana,Jully1901,passim,,anta1255,Antankarana Malagasy,xmv,Africa,-13.2164,49.2402,Austronesian
anuk1239-1,Anuki,Lean1986Vol06,p.29,S.I.L word list (1975). Village: Pem.,anuk1239,Anuki,aui,Papunesia,-9.6692,149.822,Austronesian
anus1237-1,Sobei-groep Anus,Galis1955,p.143,,anus1237,Korur,auq,Papunesia,-2.26271,139.502,Austronesian
anus1237-2,koru ˈfanu - anus,Grace1955pdf25,p.2 [of pdf],,anus1237,Korur,auq,Papunesia,-2.26271,139.502,Austronesian
aohe1237-1,"Penihing Dayak, Upper Mahakam",Stokhof1986Vol8,p.155,,aohe1237,Aoheng-Seputan,pni,Papunesia,0.87404,114.127,Austronesian
aohe1237-2,Pĕnihingsch,Barth1910,pp.234-279,,aohe1237,Aoheng-Seputan,pni,Papunesia,0.87404,114.127,Austronesian
